position,docid,date,court,title
220,1270898,1971-07-29,Delhi High Court,"Union Of India vs Uttam Singh Dugal & Co. (Pvt.) Ltd. on 29 July, 1971"
221,882110,2005-12-20,Gauhati High Court,"State Of Manipur And Ors. vs Moirangthem Chaoba Singh on 20 December, 2005"
222,291569,1950-11-21,Bombay High Court,"The State Of Bombay vs The Maharashtra Sugar Mills Ltd. on 21 November, 1950"
223,711989,1947-12-02,Calcutta High Court,"Chandanmull Jhaleria And Ors. vs Clive Mills Co. Ltd. And Ors. on 2 December, 1947"
224,1828195,2005-12-19,Delhi High Court,"Progressive Constructions Ltd. vs National Highways Authority Of India, ... on 19 December, 2005"
225,119751489,2023-05-18,Supreme Court of India,"M/S B And T Ag vs Ministry Of Defence on 18 May, 2023"
226,84190594,2014-12-17,Supreme Court of India,"International Amusement Limited vs India Trade Promotion Organization & ... on 17 December, 2014"
227,197054318,2023-04-10,Supreme Court of India,"Ntpc Ltd. vs M/S Spml Infra Ltd. on 10 April, 2023"
228,284849,2008-08-11,Supreme Court of India,"N.T.P.C. & Ors vs Badri Singh Thakur & Ors on 11 August, 2008"
229,1960051,2011-11-23,Supreme Court of India,"Union Of India vs L.S.N. Murthy & Anr on 23 November, 2011"
230,1362619,1970-11-06,Supreme Court of India,"Megna Mills Co. Ltd vs Ashoka Marketing Co on 6 November, 1970"
231,1335438,1991-10-22,Supreme Court of India,"Sanganer Dal And Flour Mill vs F.C.I. And Ors on 22 October, 1991"
232,407360,1983-07-21,Supreme Court of India,"Commissioner Of Income-Taxbombay ... vs Shantilal Private Llmited Bombay on 21 July, 1983"
233,130994567,2019-11-14,Supreme Court of India,"Wapcos Ltd. vs Salma Dam Joint Venture on 14 November, 2019"
234,1496486,2010-02-18,Supreme Court of India,"P.K. Singh vs M/S. S.N. Kanungo & Ors on 18 February, 2010"
235,190476564,2013-08-27,Supreme Court of India,"Ramachandra Narayan Nayak vs Karnataka Neeravari Nigam Ltd. & Ors on 27 August, 2013"
236,41488100,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation & ... vs Gautam Anand on 22 March, 2018"
237,119361969,2018-03-22,Delhi High Court,"East Delhi Municipal Corporation vs Ashwani Kumar Aggarwal on 22 March, 2018"
238,176899444,2014-09-29,Calcutta High Court,"The Board Of Trustees Of The Port Of ... vs Louis Dreyfus Armatures Sas & Ors on 29 September, 2014"
239,1517355,1999-06-07,Himachal Pradesh High Court,"Hydel Construction Ltd. vs H.P. State Electricity Board on 7 June, 1999"
240,187071402,2020-11-19,Allahabad High Court,"M/S Bio Tech System vs State Of U.P. And 4 Others on 19 November, 2020"
241,119409580,2021-04-07,Delhi High Court,"Shapoorji Pallonji And Co. Pvt. Ltd vs Rattan India Power Ltd & Anr. on 7 April, 2021"
242,19788167,2017-05-02,Madhya Pradesh High Court,"Godrej And Boyce Mfg. Co. Ltd. vs State Civil Supplies Corporation ... on 2 May, 2017"
243,837608,1983-08-24,Andhra HC (Pre-Telangana),"N.V. Chowdary vs Hindustan Steel Works Construction ... on 24 August, 1983"
244,1314218,1988-08-08,Andhra HC (Pre-Telangana),"National Thermal Power Corporation ... vs Bhanu Construction Co. P. Ltd. And Ors. on 8 August, 1988"
245,101356156,2013-02-18,Delhi High Court,"M/S Sai Consulting Engineers Pvt Ltd vs Rail Vikas Nigam Ltd & Ors on 18 February, 2013"
246,795111,2006-03-24,Delhi High Court,"Tarsem Kumar Garg And Anr. vs D.D.A. And Ors. [Along With Wp(C) No. ... on 24 March, 2006"
247,1203042,2002-08-26,Bombay High Court,"Municipal Corporation Of Greater ... vs Prestress Products (India) on 26 August, 2002"
248,449727,1997-10-21,Madras High Court,"Aluminium Industries Ltd., Rep. By Its ... vs Minerals And Metals Trading ... on 21 October, 1997"
249,1599742,1977-04-20,Delhi High Court,"Union Of India vs Bharat Engineering Corporation on 20 April, 1977"
250,1674697,1975-11-21,Calcutta High Court,"Bird And Co. (Pvt.) Ltd. vs Kalyan Kumar Sen Gupta on 21 November, 1975"
251,1822367,1977-08-17,Calcutta High Court,"General Enterprises And Ors. vs Jardine Handerson Ltd. on 17 August, 1977"
252,185827,1962-09-04,Bombay High Court,"Shri Vallabh Pitte vs Narsingdas Govindram Kalani on 4 September, 1962"
253,52856,1933-08-30,Bombay High Court,"Fazaially Jivajl Raja vs Khimji Poonji And Co. on 30 August, 1933"
254,610549,1961-05-25,Calcutta High Court,"Gannon Dunkerley And Co. vs Union Carbide (India) Ltd. on 25 May, 1961"
255,397336,1965-07-01,Bombay High Court,"Rambhau Jairam Dhamange And Ors. vs The President, Vinkar Co-Operative ... on 1 July, 1965"
256,1410885,2002-11-22,Madhya Pradesh High Court,"M.P. Housing Board And Anr. vs Satish Kumar Raizada on 22 November, 2002"
257,1590882,2005-12-29,Gujarat High Court,"Executive Engineer Sardar Sarovar ... vs Bhaven Construction And Anr. on 29 December, 2005"
258,464359,1957-02-04,Bombay High Court,"Savitra Khandu Beradi vs Nagar Agricultural Sale And Purchase ... on 4 February, 1957"
259,1670712,2001-03-23,Delhi High Court,"M/S. P.C. Chandha & Co. (P) Ltd. vs Union Of India & Anr. on 23 March, 2001"
260,161840108,2019-01-15,Delhi High Court,"Coastal Marine Construction And ... vs Indian Oil Corporation Ltd & Ors on 15 January, 2019"
261,1674380,2000-03-24,Karnataka High Court,"Mysore Construction Company vs Karnataka Power Corporation Limited ... on 24 March, 2000"
262,1604290,2002-01-04,Delhi High Court,"Continental Construction Limited vs Food Corporation Of India And Ors. on 4 January, 2002"
263,95818198,2009-01-16,Delhi High Court,"W.P.I.L. vs Ntpc Ltd. & Ors. on 16 January, 2009"
264,1779799,1975-05-09,Delhi High Court,"Mohan Meakin Breweries Limited vs Union Of India And Two Ors. on 9 May, 1975"
265,587442,1974-05-01,Madhya Pradesh High Court,"Umraosingh And Co., Mahanagar, Lucknow ... vs The State Of Madhya Pradesh And Ors. on 1 May, 1974"
266,1796587,1928-02-14,Allahabad High Court,"Alfred William Domingo vs L.C. De'Souza on 14 February, 1928"
267,1703516,1930-12-12,Bombay High Court,"Babubhai Tansukhlal vs Madhavji Govindji And Co. on 12 December, 1930"
268,67786664,2023-01-07,Bombay High Court,"M/S Shri Khatu Shyam Traders Thr. Prop. ... vs Western Coalfield Limited, Thr. ... on 7 January, 2023"
269,97062621,2018-11-29,Madhya Pradesh High Court,"M/S Seth Mohanlal Hiralal Construction ... vs Union Of India on 29 November, 2018"
270,178454124,2011-01-10,Delhi High Court,"M/S. Saipem Triune Engineering Pvt. Ltd vs Indian Oil Petronas Pvt. Ltd. on 10 January, 2011"
271,26426945,2016-06-01,Delhi High Court,"Arvind Bhardwaj & Anr vs Sana Realtors Pvt Ltd & Ors on 1 June, 2016"
272,771950,2003-03-04,Delhi High Court,"Jindal Aromatic vs South Coast Spices Exports Pvt. Ltd. on 4 March, 2003"
273,726867,2006-04-07,Madhya Pradesh High Court,"Ravi Kant Bansal, Engineers And ... vs M.P. Audyogik Kendra Vikas Nigam ... on 7 April, 2006"
274,1780449,1997-07-11,Bombay High Court,"Lloyds Steel Industries Limited vs Oil And Natural Gas Corporation Ltd. on 11 July, 1997"
275,36420,1987-09-15,Gujarat High Court,"State Of Rajasthan vs Gujarat State Construction ... on 15 September, 1987"
276,287730,1985-08-07,Bombay High Court,"State Of Maharashtra And Ors. vs Ranjeet Construction on 7 August, 1985"
277,1645415,1957-09-16,Punjab-Haryana High Court,"Inder Chand Jain vs Pooran Chand Bansi Dhar on 16 September, 1957"
278,819015,1957-12-12,Allahabad High Court,"Municipal Board vs Eastern U.P. Electric Supply Co. Ltd. ... on 12 December, 1957"
279,1813766,1963-01-15,Punjab-Haryana High Court,"Chiranji Lal Multani R.B. (Private) ... vs Union Of India (Uoi) Through Secy. Dept. ... on 15 January, 1963"
280,1215684,1985-10-18,Punjab-Haryana High Court,"Commissioner Of Income-Tax vs Maya Ram Jia Lal on 18 October, 1985"
281,113006076,2017-09-01,Madhya Pradesh High Court,"M/S Dhruve Constructions Thr.Kalpesh vs Madhya Pradesh Electricity Board on 1 September, 2017"
282,1680839,1996-07-24,Bombay High Court,"Ravindra Anant Deshmukh vs City And Industrial Development ... on 24 July, 1996"
283,1205261,1971-01-29,Madhya Pradesh High Court,"Lekhraj Diddi vs Sawan Singh on 29 January, 1971"
284,1352717,1974-08-07,Karnataka High Court,"M. Nanjappa vs M.P. Muthuswamy on 7 August, 1974"
285,856886,1998-09-10,Delhi High Court,"Vaish Brothers & Co. vs Union Of India & Anr. on 10 September, 1998"
286,1530261,1989-09-14,Calcutta High Court,"State Of West Bengal And Others vs Haripada Santra on 14 September, 1989"
287,1384216,1957-04-11,Punjab-Haryana High Court,"Punjab State vs Moji Ram on 11 April, 1957"
288,1348150,2000-04-24,Madhya Pradesh High Court,"Ch. Chandra Shekhar vs State Of M.P. And Ors. on 24 April, 2000"
289,1402658,1983-04-04,Gujarat High Court,"Vipinbhai R. Parekh vs General Manager Western Railway, ... on 4 April, 1983"
290,900958,1990-10-20,Delhi High Court,"Ram Krishan Singhal vs Executive Engineer And Ors. on 20 October, 1990"
291,761027,1952-11-21,Allahabad High Court,"Gauri Shankar And Sons vs Union Of India (Uoi) (General Manager, ... on 21 November, 1952"
292,1547639,1939-08-08,Bombay High Court,"Shriram Hanutram vs Mohanlal And Co. on 8 August, 1939"
293,184259832,2020-01-07,Income Tax Appellate Tribunal - Delhi,"M/S. Mitsui & Co. Ltd., New Delhi vs Ddit, New Delhi on 7 January, 2020"
294,93734,1987-05-26,"Customs, Excise and Gold Tribunal - Tamil Nadu","K. Janardhanan Pillai vs Collector Of Customs on 26 May, 1987"
295,161690075,2014-06-27,"Custom, Excise & Service Tax Tribunal","M/S. Gammon India Ltd vs Commissioner Of Central Excise, ... on 27 June, 2014"
296,69888522,2017-04-20,Delhi High Court,"Thyssen Krupp Materials Ag vs The Steel Authority Of India on 20 April, 2017"
297,319520,2010-03-18,Madras High Court,"M/S. Texfield Engineers vs Texteema Engineering Industries on 18 March, 2010"
298,719729,2005-05-24,Delhi High Court,"National Thermal Power Corporation ... vs Siemens Atiengesellschaft (Sag) on 24 May, 2005"
299,998449,2009-03-06,Delhi High Court,"M/S Roshin Lal Gupta & Sons Pvt. Ltd. vs Delhi Tourism & Transportation ... on 6 March, 2009"
300,961181,1958-01-21,Calcutta High Court,"W. Wood & Son Ltd. vs Bengal Corporation on 21 January, 1958"
301,872586,2007-01-05,Madras High Court,"Sundaram Brake Linings Ltd vs Kotak Mahindra Bank Ltd on 5 January, 2007"
302,366616,2005-02-11,Madras High Court,"M/S. Ford Credit Kotak Mahindra vs M. Swaminathan on 11 February, 2005"
303,162348228,2010-08-26,Delhi High Court,"Piramal Healthcare Limited vs Diasorin S.P.A. on 26 August, 2010"
304,5437732,2015-03-12,Andhra HC (Pre-Telangana),"P.Madhusudhan Rao vs Lt.Col.Ravi Manan, And Another on 12 March, 2015"
305,1276177,1991-02-07,Delhi High Court,"United States Of America vs Master Builders And Anr. on 7 February, 1991"
306,63772585,2017-05-29,Appellate Tribunal For Electricity,"Shapoorji Pallonji Energy (Gujarat) ... vs Gujarat Electricity Regulatory ... on 29 May, 2017"
307,115204855,2013-04-02,Delhi High Court,"National Highways Authority India vs Mecon-Gea Energy Systems India Ltd Jv on 2 April, 2013"
308,511787,2002-11-30,Bombay High Court,"Gtc Limited vs Royal Consulting Rv, Being A Company ... on 30 November, 2002"
309,162868,2005-02-08,Gauhati High Court,"Union Of India (Uoi) And Anr. vs J.G. Engineers Pvt. Ltd. on 8 February, 2005"
310,778826,2000-09-29,Delhi High Court,"Icm Engineering Workers Union vs Union Of India & Others on 29 September, 2000"
311,803950,1995-02-13,Calcutta High Court,"Hooghly River Bridge Commissioners vs Bhagirathi Bridge Construction Co. ... on 13 February, 1995"
312,1673984,2001-12-12,Andhra HC (Pre-Telangana),"Cultor Food Science Inc. vs Nicholas Piramal India Ltd. And Ors. on 12 December, 2001"
313,12278657,2014-12-17,Delhi High Court,"M/S National Highways Authority Of ... vs M/S Bscpl on 17 December, 2014"
314,151218010,2013-04-09,Bombay High Court,"Jayesh M.Gandhi vs Yogendra N.Thakkar on 9 April, 2013"
315,1976762,2005-12-16,Bombay High Court,"Municipal Corporation Of Greater ... vs Atlanta Infrastructure Ltd. And M.C. ... on 16 December, 2005"
316,1691579,1978-02-15,Madhya Pradesh High Court,"Thakurlal Shivprakash Poddar vs Commissioner Of Income-Tax on 15 February, 1978"
317,140323,1981-09-30,Madhya Pradesh High Court,"Uttam Singh Dugal And Co. Pvt. Ltd., New ... vs Hindustan Steel Ltd., Bhilai Steel ... on 30 September, 1981"
318,1593251,1988-04-14,Allahabad High Court,"Union Of India (Uoi) vs S.B. Singh on 14 April, 1988"
319,1668621,2002-01-10,Delhi High Court,"Thyssen Stahlunion Gmbh vs The Steel Authority Of India on 10 January, 2002"
320,28444579,2021-10-08,Income Tax Appellate Tribunal - Delhi,"Bcl Securities Pvt Ltd, Gurgaon vs Acit Circle-4(1), New Delhi on 8 October, 2021"
321,1380399,2007-03-02,Income Tax Appellate Tribunal - Pune,"Thermax Babcock And Wilcox Ltd. vs Addl. Commissioner Of It, Spl. Range 3 on 2 March, 2007"
322,112183904,2020-03-17,Supreme Court of India,"Bank Of Baroda vs Kotak Mahindra Bank Ltd. on 17 March, 2020"
323,26559193,2022-07-25,Supreme Court of India,"Mahanadi Coalfields Ltd. vs M/S Ivrcl Amr Joint Venture on 25 July, 2022"
324,15132051,2018-05-07,Delhi High Court,"Union Of India vs Vodafone Group Plc United Kingdom & Anr on 7 May, 2018"
325,186461209,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation & ... vs Shish Pal on 22 March, 2018"
326,69227054,2019-12-03,Delhi High Court,"Larsen & Toubro Limited vs Experion Developers Pvt. Ltd & Ors on 3 December, 2019"
327,1216261,2010-02-15,Bombay High Court,"Western Maharashtra Development ... vs Bajaj Auto Limited on 15 February, 2010"
328,124344618,2015-11-26,Patna High Court,"Spml Infra Ltd. & Anr vs Sri Gopal Singh on 26 November, 2015"
329,63197036,2021-09-23,Allahabad High Court,"Dr Manohar Lal And 36 Others vs State Of U.P. And 3 Others on 23 September, 2021"
330,170576620,2018-03-22,Delhi High Court,"East Delhi Municipal Corporation vs Pawan Kumar Suri on 22 March, 2018"
331,32363171,2018-03-22,Delhi High Court,"East Delhi Municipal Corporation vs Raj Kumar Jain on 22 March, 2018"
332,106881467,2008-11-27,Delhi High Court,"Glencore Grain Rotterdam B.V. vs Shivnath Rai Harnarain (India) Co. on 27 November, 2008"
333,1517194,2002-10-22,Kerala High Court,"Government Of Kerala vs Som Datt Builders Ltd. on 22 October, 2002"
334,1855751,1988-04-29,Gujarat High Court,"Gujarat Water Supply And Sewerage ... vs Unique Erectors (Guj) Pvt. Ltd. And Anr. on 29 April, 1988"
335,1670997,1965-07-01,Bombay High Court,"Rambhau Jairam Dhamange vs Vinkur Co-Operative Society Ltd. (By ... on 1 July, 1965"
336,1944624,2005-12-09,Delhi High Court,"Ramjee Power Construction Ltd. vs Union Of India (Uoi) And Ors. on 9 December, 2005"
337,188915717,2021-08-25,Delhi High Court,"M/S Johnson And Johnson Pvt Ltd vs All India Institute Of Medical Sciences ... on 25 August, 2021"
338,142379158,2021-02-17,Delhi High Court,"Mahindra Susten Private Limited vs Nhpc Limited on 17 February, 2021"
339,97096452,2019-12-12,Bombay High Court,"Itd Cementation India Limited vs Konkan Railway Corporation Limited on 12 December, 2019"
340,98841411,2015-02-06,Bombay High Court,"Cmc Ltd vs Unit Trust Of India on 6 February, 2015"
341,12964292,2019-11-06,Bombay High Court,"Maharashtra State Electricity ... vs Godrej And Boyce Manufacturing Company ... on 6 November, 2019"
342,129045691,2013-08-16,Bombay High Court,"Mulheim Pipecoatings Gmbh vs Welspun Fintrade Limited & Anr on 16 August, 2013"
343,170945616,2011-10-31,Delhi High Court,"M/S. Metro Builders (Orissa) Pvt. Ltd. vs Indian Oil Corporation Ltd. & Ors. on 31 October, 2011"
344,139944230,2013-02-04,Bombay High Court,"M/S. Louis Dreyfus Commodities Asia Pte ... vs M/S. Govind Rubber Limited on 4 February, 2013"
345,96104,2010-03-12,Madras High Court,"E.Mohan vs Madras Fertilizers Limited on 12 March, 2010"
346,123673015,2015-03-25,Patna High Court,"Phular Construction Company Pvt. Ltd vs The State Of Bihar & Ors on 25 March, 2015"
347,1747056,2011-11-15,Bombay High Court,"Sakuma Exports Ltd vs Louis Drefus Commodities Suisse S.A on 15 November, 2011"
348,1892153,2001-04-26,Bombay High Court,"Oil & Natural Gas Corporation Ltd., ... vs Essar Steel Ltd., Bombay on 26 April, 2001"
349,177997466,2009-05-08,Delhi High Court,"M/S. Global Steel Philippines ... vs Stc Of India Ltd. & Ors. on 8 May, 2009"
350,1174480,1982-05-04,Gujarat High Court,"Union Of India (Uoi) And Anr. vs Owner & Parties Interested In Motor ... on 4 May, 1982"
351,1765064,1950-03-20,Calcutta High Court,"Bhuwalka Bros. Ltd. vs Fatehchand Murlidhar on 20 March, 1950"
352,89343742,2021-03-01,Bombay High Court,"M/S. P.L. Adke A Sole Prop. Concern ... vs Wardha Municipal Corporation / Council ... on 1 March, 2021"
353,108972133,2020-06-05,Bombay High Court,"Quick Heal Technologies Limited vs M/S. Ncs Computech Private Limited on 5 June, 2020"
354,20632224,2017-09-19,Delhi High Court,"Bharat Heavy Electricals Limited vs Electricity Generation Incorporation ... on 19 September, 2017"
355,197401648,2010-04-23,Karnataka High Court,"Bajaj Allianz General Insurance Co Ltd vs Madhava Nair S/O Late Neelakartha on 23 April, 2010"
356,47742616,2016-11-29,Bombay High Court,"T.A.I. Pharma Ltd vs Wockhardt Ltd on 29 November, 2016"
357,950552,2000-01-18,Andhra HC (Pre-Telangana),"D. Mohan vs Regional Manager, Apsrtc, Khammam ... on 18 January, 2000"
358,1468576,2002-12-11,Madras High Court,"Binny Limited vs V. Jagannathan & Co. Rep., By Its ... on 11 December, 2002"
359,297111,2006-05-17,Delhi High Court,"Smt. Bhagwan Devi vs The Chairman, Delhi Agricultural ... on 17 May, 2006"
360,1292504,2007-06-26,Bombay High Court,"Bharatiya Kamgar Sena vs Udhe India Ltd. And Anr. on 26 June, 2007"
361,1049246,1978-03-31,Calcutta High Court,"J. Thomas And Co. (Jute And Gunnies) Pvt. ... vs The Bengal Jute Baling Co. Ltd. on 31 March, 1978"
362,1470934,1933-08-30,Bombay High Court,"Fazalally Jivaji Raja vs Khimji Poonja And Co. on 30 August, 1933"
363,1146230,1964-02-28,Calcutta High Court,"Partabmull Rameshwar vs Fulchand Kanahiyalal And Co. on 28 February, 1964"
364,326001,1962-05-10,Calcutta High Court,"Shree Bajrang Jute Mills Ltd. vs Fulchand Kanhaiyalal Co. And Anr. on 10 May, 1962"
365,20461079,2022-12-09,Madhya Pradesh High Court,"The State Of Madhya Pradesh vs Nathuram Yadav (Dead0) Thr. Lrs. ... on 9 December, 2022"
366,135087731,2017-12-15,Calcutta High Court,"Hinduja Leyland Finance Ltd vs Debdas Routh & Anr on 15 December, 2017"
367,18360686,2015-08-05,Delhi High Court,"Indira Gandhi National Open University vs Union Of India & Anr. on 5 August, 2015"
368,112713525,2011-12-07,Calcutta High Court (Appellete Side),"M/S. Fingertips Solutions Pvt. Ltd vs Dhanashree Electronics Ltd on 7 December, 2011"
369,190965,1996-06-06,Calcutta High Court,"S.M. Enterprises Pvt. Ltd. vs Sanpaolo Hambro Nicco Finance Ltd. on 6 June, 1996"
370,789944,2003-08-12,Kerala High Court,"Mac-N-Hom Systems vs P.S. Varrier on 12 August, 2003"
371,1149456,1997-05-22,Delhi High Court,"Hindustan Fertilizer Corporation Ltd. vs Great Eastern Shipping Co. Ltd. on 22 May, 1997"
372,1192656,1987-04-14,Rajasthan High Court - Jaipur,"Commissioner Of Income-Tax vs Dina Lal Gupta on 14 April, 1987"
373,146930,1986-01-02,Rajasthan High Court - Jaipur,"Commissioner Of Income-Tax vs Rajasthan Wool Agencies on 2 January, 1986"
374,641260,1961-09-29,Calcutta High Court,"Lotus Oil Company vs Calcutta Soap Works on 29 September, 1961"
375,1702990,1957-12-31,Himachal Pradesh High Court,"Sirmur Chemical And General Industries ... vs The Union Of India (Uoi) And Ors. on 31 December, 1957"
376,133885257,2017-12-08,Bombay High Court,"Vision Millennium Exports Pvt. Ltd vs M/S Stride Multitrade Pvt. Ltd on 8 December, 2017"
377,67058,1989-11-22,Calcutta High Court,"National Thermal Power Corporation ... vs Hind Galvanizing And Engineering Co. ... on 22 November, 1989"
378,1703547,2010-02-11,Rajasthan High Court - Jodhpur,"Jagdish Chandra & Anr vs Hari Narayan & Anr on 11 February, 2010"
379,116300740,2016-06-17,Delhi High Court,"M/S National Highways Authority Of ... vs M/S Progressive-Mvr (Jv) on 17 June, 2016"
380,84911,1972-01-31,Calcutta High Court,"Life Insurance Corporation Of India vs M.L. Dalmia And Co. Ltd. on 31 January, 1972"
381,1096873,1992-01-27,Bombay High Court,"Andhra Civil Construction Co. vs The Board Of Trustees Of The Port Of ... on 27 January, 1992"
382,1451326,1973-02-13,Rajasthan High Court - Jaipur,"The State Of Rajasthan vs Motiram on 13 February, 1973"
383,131326253,2017-12-22,Delhi High Court,"Ivrcl Ltd. vs Rail Vikash Nigam Limited & Ors on 22 December, 2017"
384,1717618,2010-04-30,Madras High Court,"The Union Of India Owning Southern ... vs M/S Best Cast Construction (Private) ... on 30 April, 2010"
385,533969,1996-07-05,Andhra HC (Pre-Telangana),"M/S. Padmavathi Constructions vs The A.P. Industrial Infrastructure ... on 5 July, 1996"
386,1954715,2005-05-24,Delhi High Court,"National Institute Of Banking Studies ... vs Vij Construction Ltd. on 24 May, 2005"
387,193219,1976-07-23,Calcutta High Court,"Balsukh Refractories And Ceramics Ltd. vs Hindusthan Steel Ltd. And Ors. on 23 July, 1976"
388,1254022,1989-08-21,Rajasthan High Court - Jaipur,"Commissioner Of Income-Tax vs Ganesh Das Ram Swaroop Kakani on 21 August, 1989"
389,1379914,1966-04-18,Madhya Pradesh High Court,"Century Spinning And Manufacturing Co. ... vs Motilal Dhariwal S/O Dulichand on 18 April, 1966"
390,881748,2000-02-17,Gujarat High Court,"Sorathia Velji Ratna And Co. vs Gujarat Agricultural University on 17 February, 2000"
391,1164969,1983-02-22,Kerala High Court,"Gokuldas vs Union Of India (Uoi) And Anr. on 22 February, 1983"
392,228472,1800-01-01,Rajasthan High Court - Jaipur,"Delhi Cloth And General Mills Co. Ltd. ... vs State Of Rajasthan And Ors. on 1 January, 1800"
393,45990420,2012-10-31,Punjab-Haryana High Court,"Mlgc-Ecc-Vipl (Joint Venture) vs State Of Punjab And Others on 31 October, 2012"
394,100357786,2014-08-28,Bombay High Court,"Prakash Cotton Mills Pvt. Ltd vs Vinod Tejraj Gowani on 28 August, 2014"
395,1878612,2007-03-29,Gauhati High Court,"Principal Secretary To The Government ... vs Dimapur Contractors And Suppliers ... on 29 March, 2007"
396,1575472,1996-04-04,Bombay High Court,"Indian Airports Employees Union vs Air India And Ors. on 4 April, 1996"
397,701593,1979-04-04,Allahabad High Court,"Bhagwan Das vs Smt. Chandra Kali on 4 April, 1979"
398,55029308,2022-07-11,Supreme Court of India,"National Highway Authority Of India vs Transstroy (India) Limited on 11 July, 2022"
399,449717,2002-05-16,Andhra HC (Pre-Telangana),"Government Of A.P. And Anr. vs Sri Venkateswara Construction Co., ... on 16 May, 2002"
400,219056,1993-11-12,Bombay High Court,"Oil And Natural Gas Commission vs Off-Shore Enterprises Inc. on 12 November, 1993"
401,815115,1982-04-29,Bombay High Court,"M. Mohammed And Etc. Etc. vs Union Of India And Ors. on 29 April, 1982"
402,298635,2007-10-11,Madhya Pradesh High Court,"Shri Shankaranarayana Construction ... vs State Of M.P. And Ors. on 11 October, 2007"
403,139349592,2014-01-21,Gujarat High Court,"M V Vinalines Fortuna & vs Saurashtra Fuels Private Limited on 21 January, 2014"
404,60110481,2018-11-26,Madras High Court,"Nlc Tamilnadu Power Limited vs Http://Www.Judis.Nic.In on 26 November, 2018"
405,52313515,2010-07-09,Delhi High Court,"Antia Electricals Pvt. Ltd. vs National Building Construction ... on 9 July, 2010"
406,160873357,2015-06-22,Gujarat High Court,"Phaethon International Co.S.A vs M V Americana on 22 June, 2015"
407,157864008,2018-02-09,Gujarat High Court,"Vijay Construction Co.­Consulting ... vs Sardar Sarovar Narmada Nigam Limited ... on 9 February, 2018"
408,443368,2007-12-28,Delhi High Court,"R.R. Constructions (Through Its Sole ... vs St. Ann'S. Co-Operative Group Housing ... on 28 December, 2007"
409,12484230,2003-04-29,Allahabad High Court,"Union Of India (Uoi) And Anr. vs Madnani Construction Corporation (P.) ... on 29 April, 2003"
410,55168630,2015-01-27,Delhi High Court,"M/S. Utc Fire & Security India Ltd. vs Bhartiya Rail Bijlee Company Limitted & ... on 27 January, 2015"
411,1546367,2008-11-12,Gujarat High Court,"Marwadi vs Kishorkumar on 12 November, 2008"
412,163976018,2017-08-07,Andhra HC (Pre-Telangana),"M/Slanco Infratech Limited And Another vs Power Finance Corporation, New Delhi ... on 7 August, 2017"
413,467805,2003-03-19,Bombay High Court,"Siddharth Holding Pvt. Ltd. A Company ... vs Saidale Co-Operative Housing Society ... on 19 March, 2003"
414,81661,2007-08-17,Madhya Pradesh High Court,"State Of Madhya Pradesh Through The ... vs Vasu Builders, A Partnership Firm ... on 17 August, 2007"
415,828116,1972-11-17,Bombay High Court,"Chouthmal Nathuram Joshi vs Bhagwandas Zutalal Marwadi on 17 November, 1972"
416,23034165,2022-03-15,Supreme Court of India,"Bihar Industrial Area Development ... vs Rama Kant Singh on 15 March, 2022"
417,130083535,1974-03-12,Supreme Court of India,"Union Of India (Uoi) vs Raman Iron Foundry on 12 March, 1974"
418,107411471,2017-07-04,Allahabad High Court,"Dr. Ashok Nigam vs Lucknow Nagar Nigam Thru. ... on 4 July, 2017"
419,26421945,2013-04-04,Bombay High Court,"Patel Engineering Co. Ltd vs B.T.Patil & Sons Belgaum (Construction on 4 April, 2013"
420,79835669,2009-06-17,Bombay High Court,"M/S. Hindustan Lever Ltd vs <b>Contract</b> Laghu Udyog Kamgar on 17 June, 2009"
421,70378726,2023-03-01,Delhi High Court,"The Oriental Insurance Co. Ltd. vs Hcl Infosystems Limited on 1 March, 2023"
422,142959937,2022-02-03,Gujarat High Court,"Essar Bulk Terminal Limited vs Arcelor Mittal Nippon Steel India ... on 3 February, 2022"
423,22904916,2020-11-24,Delhi High Court,"Dholi Spintex Private Limited vs Louis Dreyfus Company India Pvt. Ltd. on 24 November, 2020"
424,89659000,2021-07-30,Gujarat High Court,"M/S Global S.S. Construction Pvt. Ltd vs Chief General Manager, (Mechnical-I/C ... on 30 July, 2021"
425,70395670,2014-09-15,Delhi High Court,"Consortium Of Deepak Cable India ... vs Teesta Valley Power Transmission ... on 15 September, 2014"
426,112882988,2023-05-12,Delhi High Court,"Idbi Bank Ltd. vs Power Finance Coporation Ltd. And Ors. on 12 May, 2023"
427,26386549,2022-12-21,Delhi High Court,"Dlf Ltd. vs Il&Fs Engineering And Construction ... on 21 December, 2022"
428,50863806,2020-09-01,Gujarat High Court,"M/S Ongc Petro Additions Limited vs State Of Gujarat on 1 September, 2020"
429,5077184,2020-09-01,Madhya Pradesh High Court,"Rajkumar Goyal vs Municipal Corporation on 1 September, 2020"
430,57282567,2020-11-03,Delhi High Court,"Royal Orchid Associated Hotels Private ... vs Kesho Lal Goyal on 3 November, 2020"
431,138736892,2018-02-01,Delhi High Court,"Standing Conference Of Public ... vs Govt. Of N.C.T. Of Delhi & Ors on 1 February, 2018"
432,7065502,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation & ... vs Kamlesh Kumar Gupta on 22 March, 2018"
